Terms,docFreq,postList
membuat,4,"[25, 34, 3, 3]"
memiliki,8,"[18, 16, 29, 17, 24, 21, 24, 28]"
mempertahankan,1,[26]
memudahkan,1,[20]
menaiki,1,[14]
menantang,2,"[10, 10]"
menara,1,[15]
menarik,6,"[36, 31, 2, 3, 30, 4]"
menawarkan,7,"[35, 34, 23, 20, 33, 13, 25]"
mencicipi,1,[16]
mendapatkan,1,[25]
menegangkan,3,"[14, 10, 14]"
menenangkan,1,[8]
mengabadikan,1,[27]
mengenang,1,[26]
menggunakan,3,"[10, 14, 14]"
menghabiskan,4,"[34, 33, 15, 25]"
mengikuti,1,[18]
mengubah,1,[20]
mengunjungi,2,"[33, 29]"
menikmati,5,"[7, 36, 20, 31, 21]"
menjadi,6,"[26, 33, 23, 15, 18, 12]"
menjadikan,1,[34]
menjajal,1,[11]
menjelang,1,[30]
menuju,2,"[27, 21]"
menurun,1,[27]
menyajikan,3,"[36, 35, 27]"
menyaksikan,1,[16]
menyebutnya,1,[2]
menyediakan,5,"[26, 27, 32, 32, 30]"
menyenangkan,3,"[28, 27, 23]"
menyimpan,1,[26]
menyuguhkan,1,[15]
merah,1,[7]
merapi,1,[27]
merasakan,1,[13]
merbabu,2,"[24, 27]"
mereka,1,[25]
merlion,1,[15]
merupakan,8,"[26, 22, 32, 29, 17, 20, 34, 29]"
meter,8,"[22, 9, 12, 23, 11, 23, 17, 13]"
milimeter,1,[14]
militer,1,[20]
minggu,3,"[16, 3, 17]"
miniatur,1,[15]
minuman,2,"[16, 36]"
moment,1,[27]
montor,1,[37]
monumen,1,[26]
mpdl,1,[34]
mudah,1,[9]
mulai,2,"[36, 23]"
munadi,1,[1]
muncar,1,[19]
muncul,3,"[30, 30, 30]"
museum,8,"[20, 20, 26, 20, 20, 20, 26, 26]"
music,1,[28]
mystica,2,"[8, 8]"
naik,1,[6]
nama,1,[29]
namun,2,"[21, 29]"
nanti,1,[13]
ndeso,1,[16]
negara,1,[26]
negeri,1,[12]
ngecamp,1,[0]
nggak,1,[0]
ngipik,1,[16]
ngisor,1,[10]
nih,1,[0]
no,1,[32]
nuansa,2,"[33, 27]"
nya,1,[33]
nyaman,1,[33]
nyata,1,[5]
nyatnyono,1,[1]
obat,1,[32]
objek,2,"[30, 26]"
oh,2,"[6, 11]"
olah,1,[31]
olahan,1,[36]
oleh,5,"[24, 9, 9, 29, 24]"
on,4,"[36, 7, 36, 36]"
ondo,1,[14]
one,1,[18]
orang,7,"[13, 7, 14, 25, 23, 36, 17]"
organik,2,"[32, 32]"
out,1,[28]
outbond,1,[18]
outbound,3,"[27, 24, 23]"
outdoor,3,"[18, 34, 28]"
p,2,"[32, 37]"
package,1,[18]
pada,8,"[29, 33, 20, 22, 2, 21, 1, 2]"
padusan,2,"[30, 30]"
pagi,2,"[16, 25]"
pahlawan,1,[26]
paintball,2,"[24, 27]"
pakaian,1,[26]
paket,2,"[20, 34]"
pala,1,[31]
palagan,1,[26]
panggung,1,[21]
pangus,1,[16]
panjang,1,[22]
panorama,4,"[6, 7, 30, 25]"
para,4,"[26, 27, 30, 23]"
paralayang,1,[34]
park,1,[6]
pas,1,[33]
pasar,3,"[24, 16, 3]"
pasti,1,[10]
patimura,1,[35]
patung,4,"[15, 22, 22, 12]"
patut,1,[34]
pecinta,1,[25]
pedesaan,1,[35]
pegunungan,4,"[27, 25, 27, 20]"
pekan,3,"[9, 34, 33]"
pelangi,1,[9]
pemancingan,2,"[30, 28]"
pemandangan,9,"[35, 0, 33, 31, 34, 23, 25, 21, 31]"
pemandian,4,"[30, 30, 30, 30]"
pemanfaatan,1,[16]
pembersihan,1,[17]
pembibitan,1,[30]
penanaman,1,[18]
penasaran,1,[14]
penat,1,[28]
pengaman,1,[14]
pengemasan,1,[18]
penggemar,2,"[27, 36]"
penginapan,3,"[33, 4, 34]"
pengolahan,3,"[36, 16, 18]"
pengunjung,15,"[22, 15, 34, 14, 14, 20, 31, 35, 36, 35, 23, 18, 28, 36, 36]"
pening,4,"[27, 25, 25, 20]"
peninggalan,2,"[1, 29]"
penjagaan,1,[27]
penopang,1,[22]
penuh,1,[16]
penyiar,1,[1]
per,2,"[13, 36]"
perjalanan,1,[31]
perkebunan,5,"[31, 0, 27, 32, 36]"
perlu,1,[15]
permainan,6,"[28, 24, 23, 10, 17, 23]"
permen,2,"[36, 3]"
pernah,1,[2]
perosotan,3,"[17, 9, 23]"
persawahan,1,[21]
pertamakali,1,[20]
pertempuran,1,[26]
pertemuan,1,[24]
pesan,1,[5]
pesona,2,"[12, 12]"
pesonaindonedia,1,[3]
pesonaindonesia,1,[2]
peternakan,1,[36]
petik,3,"[7, 0, 7]"
pewayangan,1,[37]
peziarah,2,"[22, 1]"
